step_idx,prefix_len,true_mean,est_mean,est_std,abs_rel_err_mean
0,10000,7307.4,7319.960101500001,86.3056444429395,0.0017188194843584738
1,20000,14529.65,14569.4371338,235.97874394124904,0.002738340827205091
2,30000,21742.35,21666.929690700003,306.0865240693758,0.0034688204954844352
3,40000,28953.6,28970.2661279,446.78587390384536,0.0005756150495965957
4,50000,36137.85,36326.528239299994,600.9247642389422,0.005221069856120267
5,60000,43298.35,43516.86093465,834.0821932743921,0.00504663421700834
6,70000,50463.1,50563.8133277,890.4593475745659,0.001995781624593079
7,80000,57620.0,57818.219560950005,885.7567569410382,0.0034401173368622867
8,90000,64758.4,65104.607329700004,1001.7186959738572,0.005346137793707109
9,100000,71885.5,72333.21934775,1035.4051857919405,0.006228228888301491
