n,time_us
500,38
600,46
700,54
800,64
900,75
1000,84
1100,93
1200,99
1300,113
1400,123
1500,133
1600,142
1700,153
1800,168
1900,175
2000,237
2100,191
2200,198
2300,200
2400,300
2500,222
2600,238
2700,242
2800,252
2900,263
3000,274
3100,282
3200,298
3300,308
3400,305
3500,325
3600,336
3700,352
3800,343
3900,357
4000,354
4100,384
4200,415
4300,422
4400,419
4500,406
4600,437
4700,474
4800,483
4900,456
5000,499
5100,492
5200,516
5300,525
5400,552
5500,549
5600,557
5700,552
5800,563
5900,586
6000,584
6100,594
6200,606
6300,627
6400,632
6500,665
6600,663
6700,667
6800,652
6900,684
7000,658
7100,715
7200,687
7300,707
7400,709
7500,717
7600,766
7700,789
7800,778
7900,750
8000,781
8100,809
8200,829
8300,839
8400,821
8500,856
8600,850
8700,853
8800,887
8900,920
9000,863
9100,926
9200,920
9300,938
9400,961
9500,984
9600,982
9700,990
9800,995
9900,1008
10000,1000
10100,1039
10200,1082
10300,1021
10400,1092
10500,1055
10600,1068
10700,1111
10800,1076
10900,1083
11000,1108
11100,1140
11200,1150
11300,1212
11400,1179
11500,1232
11600,1202
11700,1247
11800,1201
11900,1319
12000,1298
12100,1320
12200,1314
12300,1278
12400,1216
12500,1271
12600,1272
12700,1326
12800,1382
12900,1345
13000,1332
13100,1362
13200,1346
13300,1384
13400,1388
13500,1403
13600,1489
13700,1420
13800,1547
13900,1489
14000,1477
14100,1462
14200,1546
14300,1521
14400,1534
14500,1531
14600,1576
14700,1562
14800,1633
14900,1631
15000,1655
15100,1602
15200,1531
15300,1701
15400,1660
15500,1625
15600,1596
15700,1575
15800,1722
15900,1652
16000,1653
16100,1692
16200,1778
16300,1727
16400,1803
16500,1807
16600,1824
16700,1810
16800,1823
16900,1699
17000,1841
17100,1765
17200,1805
17300,1799
17400,1795
17500,1977
17600,1785
17700,1951
17800,1869
17900,1954
18000,1826
18100,1866
18200,1914
18300,2077
18400,2028
18500,1990
18600,2139
18700,1961
18800,2039
18900,2125
19000,2120
19100,2132
19200,2037
19300,2019
19400,1986
19500,2078
19600,2080
19700,2069
19800,2177
19900,2031
20000,2191
20100,2125
20200,9969
20300,2188
20400,2292
20500,2138
20600,2298
20700,2237
20800,2219
20900,2257
21000,2165
21100,2214
21200,2298
21300,2232
21400,2281
21500,2419
21600,2390
21700,2321
21800,2276
21900,2400
22000,2350
22100,2369
22200,2360
22300,2307
22400,2371
22500,2445
22600,2408
22700,2471
22800,2692
22900,2692
23000,2645
23100,2497
23200,2553
23300,2516
23400,2553
23500,2564
23600,2714
23700,2560
23800,2759
23900,2606
24000,2650
24100,2723
24200,2598
24300,2600
24400,2707
24500,2672
24600,2734
24700,2618
24800,2717
24900,2726
25000,2676
25100,2680
25200,2646
25300,2739
25400,2806
25500,2774
25600,2783
25700,2810
25800,2732
25900,2738
26000,2914
26100,3109
26200,2804
26300,2983
26400,2984
26500,2897
26600,2950
26700,3193
26800,2886
26900,2970
27000,3020
27100,2972
27200,3694
27300,2859
27400,2966
27500,2952
27600,3026
27700,3013
27800,3105
27900,3122
28000,3022
28100,3131
28200,3166
28300,3156
28400,3089
28500,3199
28600,3097
28700,3222
28800,3025
28900,3286
29000,3127
29100,3163
29200,3160
29300,3124
29400,3152
29500,3214
29600,3157
29700,3243
29800,3314
29900,3154
30000,3208
30100,3454
30200,3350
30300,3315
30400,3226
30500,3321
30600,3574
30700,3315
30800,3370
30900,3645
31000,3598
31100,3535
31200,3561
31300,3478
31400,3568
31500,3527
31600,3470
31700,3401
31800,3703
31900,3624
32000,3476
32100,3708
32200,3659
32300,3648
32400,3826
32500,3891
32600,3798
32700,3705
32800,3584
32900,3599
33000,3756
33100,3641
33200,3740
33300,3712
33400,3812
33500,3790
33600,3846
33700,3652
33800,3796
33900,3689
34000,3878
34100,3789
34200,3895
34300,3907
34400,3750
34500,3831
34600,3900
34700,3852
34800,3930
34900,3850
35000,4004
35100,3989
35200,3800
35300,4099
35400,3883
35500,3903
35600,3974
35700,3991
35800,3943
35900,4224
36000,3892
36100,3892
36200,4116
36300,3917
36400,4138
36500,4077
36600,4075
36700,4162
36800,4092
36900,4326
37000,4230
37100,4241
37200,4272
37300,4465
37400,4266
37500,4314
37600,4288
37700,4370
37800,4258
37900,4235
38000,4552
38100,4394
38200,4381
38300,4415
38400,4395
38500,4305
38600,4503
38700,4585
38800,4473
38900,4533
39000,4506
39100,4316
39200,4579
39300,4497
39400,4509
39500,4482
39600,4446
39700,4821
39800,4287
39900,4611
40000,4457
40100,4432
40200,4546
40300,4876
40400,4629
40500,4438
40600,4826
40700,4913
40800,4865
40900,4637
41000,4693
41100,4618
41200,5193
41300,4746
41400,4781
41500,4910
41600,4566
41700,4686
41800,4860
41900,4654
42000,5077
42100,4750
42200,4807
42300,4909
42400,4626
42500,4819
42600,4938
42700,4824
42800,4911
42900,4765
43000,4834
43100,4698
43200,4978
43300,5123
43400,4822
43500,5125
43600,5107
43700,5068
43800,5200
43900,5111
44000,5112
44100,4949
44200,5139
44300,5355
44400,4946
44500,5132
44600,5173
44700,5063
44800,5035
44900,5037
45000,5147
45100,5302
45200,5016
45300,5062
45400,5140
45500,5359
45600,5083
45700,5332
45800,5128
45900,5510
46000,5153
46100,5297
46200,5392
46300,5254
46400,5251
46500,5357
46600,5321
46700,5327
46800,5386
46900,5494
47000,5321
47100,5491
47200,5553
47300,5418
47400,5443
47500,5332
47600,5376
47700,5873
47800,5532
47900,5491
48000,5361
48100,5428
48200,5476
48300,5652
48400,5330
48500,5947
48600,5556
48700,5733
48800,5821
48900,5866
49000,5711
49100,5499
49200,5561
49300,5624
49400,5627
49500,5788
49600,5658
49700,5877
49800,5882
49900,5852
50000,5914
50100,5643
50200,5934
50300,5747
50400,5764
50500,5768
50600,5807
50700,5815
50800,5723
50900,5835
51000,5730
51100,5890
51200,6018
51300,5955
51400,5780
51500,5961
51600,5940
51700,5787
51800,6002
51900,5989
52000,5932
52100,5988
52200,5926
52300,6093
52400,6291
52500,6001
52600,5942
52700,6090
52800,5887
52900,5977
53000,6313
53100,6263
53200,6044
53300,6428
53400,6341
53500,6309
53600,6426
53700,6452
53800,6416
53900,6766
54000,6240
54100,6283
54200,6482
54300,6795
54400,6215
54500,6502
54600,6048
54700,7359
54800,6729
54900,6892
55000,6344
55100,6424
55200,6169
55300,6122
55400,6579
55500,6291
55600,6778
55700,6587
55800,6656
55900,7168
56000,7242
56100,7182
56200,6867
56300,6503
56400,6578
56500,6318
56600,6708
56700,6708
56800,7421
56900,6556
57000,6863
57100,9344
57200,6665
57300,6921
57400,6883
57500,6897
57600,6722
57700,6623
57800,6746
57900,6776
58000,6442
58100,6572
58200,6602
58300,6659
58400,6776
58500,7056
58600,6677
58700,6560
58800,6971
58900,6803
59000,7638
59100,6847
59200,7615
59300,7254
59400,7203
59500,6787
59600,6941
59700,7060
59800,6939
59900,7200
60000,7139
60100,6923
60200,6997
60300,6801
60400,7194
60500,7071
60600,6779
60700,7128
60800,7137
60900,7511
61000,7092
61100,6903
61200,7353
61300,7144
61400,7213
61500,7148
61600,7309
61700,6904
61800,7737
61900,7437
62000,7284
62100,7612
62200,7307
62300,7360
62400,7226
62500,7518
62600,7812
62700,7092
62800,7309
62900,7850
63000,7520
63100,7529
63200,7308
63300,7365
63400,7626
63500,7434
63600,7635
63700,7565
63800,7691
63900,7621
64000,7534
64100,13278
64200,8055
64300,7787
64400,8013
64500,7810
64600,8187
64700,7721
64800,7659
64900,8048
65000,7603
65100,8281
65200,8505
65300,7754
65400,7679
65500,7887
65600,7838
65700,7644
65800,7549
65900,7646
66000,7519
66100,7997
66200,7384
66300,8208
66400,8142
66500,7892
66600,7613
66700,7897
66800,7765
66900,7970
67000,7916
67100,8284
67200,8413
67300,8252
67400,8168
67500,8539
67600,8241
67700,8342
67800,7865
67900,8590
68000,8329
68100,8276
68200,8189
68300,8420
68400,8026
68500,8230
68600,8298
68700,8180
68800,8074
68900,8730
69000,7773
69100,8188
69200,8257
69300,8682
69400,16436
69500,8435
69600,8644
69700,8447
69800,8362
69900,8207
70000,8041
70100,7991
70200,8157
70300,8471
70400,8482
70500,8285
70600,8426
70700,8576
70800,8595
70900,8287
71000,8426
71100,8578
71200,9579
71300,8582
71400,8431
71500,9052
71600,8683
71700,8513
71800,13257
71900,8660
72000,8874
72100,8496
72200,8712
72300,8528
72400,8587
72500,8667
72600,8522
72700,8447
72800,8921
72900,8567
73000,9004
73100,8521
73200,9242
73300,8754
73400,8623
73500,9006
73600,8716
73700,8939
73800,8956
73900,8565
74000,9153
74100,8890
74200,9073
74300,8770
74400,8855
74500,8720
74600,8917
74700,9027
74800,9432
74900,11097
75000,8740
75100,9103
75200,8895
75300,8748
75400,9161
75500,9246
75600,8816
75700,9362
75800,9129
75900,9132
76000,9192
76100,9156
76200,8828
76300,9081
76400,9056
76500,9260
76600,9426
76700,9380
76800,9657
76900,9779
77000,9590
77100,9729
77200,9571
77300,12491
77400,9537
77500,9340
77600,9674
77700,9347
77800,9789
77900,9819
78000,9288
78100,9881
78200,9854
78300,9166
78400,9335
78500,9396
78600,10996
78700,9448
78800,9470
78900,11684
79000,9379
79100,9582
79200,9467
79300,9379
79400,10503
79500,9451
79600,9394
79700,9894
79800,9468
79900,9126
80000,9830
80100,9954
80200,9468
80300,9378
80400,9545
80500,9432
80600,10387
80700,9402
80800,9309
80900,9963
81000,9603
81100,9796
81200,10326
81300,9752
81400,9854
81500,9767
81600,9982
81700,9827
81800,10128
81900,9933
82000,9652
82100,9542
82200,9923
82300,10021
82400,9356
82500,9796
82600,9456
82700,9927
82800,9843
82900,10240
83000,9850
83100,9772
83200,9959
83300,9836
83400,10327
83500,9676
83600,10097
83700,9694
83800,10146
83900,9904
84000,10474
84100,9760
84200,9737
84300,9913
84400,9806
84500,9900
84600,10578
84700,10839
84800,10247
84900,10447
85000,9912
85100,10661
85200,10171
85300,10391
85400,10775
85500,10645
85600,11465
85700,10966
85800,16656
85900,10455
86000,10669
86100,10115
86200,10407
86300,10166
86400,10458
86500,10416
86600,10273
86700,12099
86800,10808
86900,10266
87000,10390
87100,10496
87200,10518
87300,10694
87400,12648
87500,10224
87600,10416
87700,10742
87800,10580
87900,13042
88000,10932
88100,10405
88200,10562
88300,11967
88400,10851
88500,10657
88600,10720
88700,10805
88800,10711
88900,10667
89000,10464
89100,10879
89200,12712
89300,10840
89400,11375
89500,10891
89600,11493
89700,10728
89800,10596
89900,10889
90000,10793
90100,11200
90200,10726
90300,12306
90400,12682
90500,11204
90600,11285
90700,10861
90800,11320
90900,10496
91000,11175
91100,11143
91200,11427
91300,12495
91400,11056
91500,11439
91600,10736
91700,10832
91800,11286
91900,12010
92000,11264
92100,12054
92200,11150
92300,10740
92400,11290
92500,11999
92600,10873
92700,11214
92800,11457
92900,11785
93000,10833
93100,11780
93200,11471
93300,11736
93400,11452
93500,12669
93600,11218
93700,11285
93800,12364
93900,11647
94000,43628
94100,11154
94200,11429
94300,11271
94400,12093
94500,11445
94600,11539
94700,11366
94800,13644
94900,11283
95000,11437
95100,11979
95200,11693
95300,12621
95400,11624
95500,12293
95600,11608
95700,11694
95800,12579
95900,11337
96000,11320
96100,11255
96200,11227
96300,11504
96400,11660
96500,11877
96600,11871
96700,11638
96800,11525
96900,11634
97000,11485
97100,11709
97200,11388
97300,11803
97400,11495
97500,12184
97600,12008
97700,12092
97800,11783
97900,11301
98000,11872
98100,11443
98200,12310
98300,11898
98400,11809
98500,11576
98600,11604
98700,11926
98800,11585
98900,11606
99000,11642
99100,11632
99200,11596
99300,11681
99400,11762
99500,11951
99600,11993
99700,11698
99800,11778
99900,11681
100000,11914
